PhraseType	ApplicableConcept	Phrase	FowardWindow / RequiresPromotion	BackWindow/Inhibitable	ConceptPhrase Overrides Raptat Assigned
inhibitor	$**null@@$_00	better	1	2	
inhibitor	$**null@@$_00	healthier	1	2	
inhibitor	$**null@@$_00	not	1	2	
inhibitor	$**null@@$_00	well	1	2	
inhibitor	anatomicalkidneystatus	bladder	5	6	
inhibitor	anatomicalkidneystatus	bowel	5	6	
inhibitor	anatomicalkidneystatus	cardiac	5	6	
inhibitor	anatomicalkidneystatus	colon	5	6	
inhibitor	anatomicalkidneystatus	heart	5	6	
inhibitor	anatomicalkidneystatus	hepatic	5	6	
inhibitor	anatomicalkidneystatus	intestinal	5	6	
inhibitor	anatomicalkidneystatus	intestine	5	6	
inhibitor	anatomicalkidneystatus	liver	5	6	
inhibitor	anatomicalkidneystatus	lung	5	6	
inhibitor	anatomicalkidneystatus	lungs	5	6	
inhibitor	anatomicalkidneystatus	ovaries	5	6	
inhibitor	anatomicalkidneystatus	ovary	5	6	
inhibitor	anatomicalkidneystatus	pancreas	5	6	
inhibitor	anatomicalkidneystatus	pancreatic	5	6	
inhibitor	anatomicalkidneystatus	urinary	5	6	
inhibitor	contrastexposure	chest	10	11	
inhibitor	contrastexposure	lung	10	11	
inhibitor	contrastexposure	lungs	10	11	
inhibitor	contrastexposure	pulm	10	11	
inhibitor	contrastexposure	pulmonary	10	11	
inhibitor	contrastexposure	resp	10	11	
inhibitor	contrastexposure	respiratory	10	11	
inhibitor	nephrologycaredelivery	depression	20	21	
inhibitor	nephrologycaredelivery	ekg	20	21	
inhibitor	nephrologycaredelivery	ekgs	20	21	
inhibitor	nephrologycaredelivery	elevation	20	21	
inhibitor	nephrologycaredelivery	ii	20	21	
inhibitor	nephrologycaredelivery	iii	20	21	
inhibitor	nephrologycaredelivery	inversion	20	21	
inhibitor	nephrologycaredelivery	lead	20	21	
inhibitor	nephrologycaredelivery	leads	20	21	
inhibitor	nephrologycaredelivery	nsr	20	21	
inhibitor	nephrologycaredelivery	pvc	20	21	
inhibitor	nephrologycaredelivery	pvcs	20	21	
inhibitor	nephrologycaredelivery	segment	20	21	
inhibitor	nephrologycaredelivery	st	20	21	
inhibitor	nephrologycaredelivery	t	20	21	
inhibitor	nephrologycaredelivery	twave	20	21	
inhibitor	nephrologycaredelivery	vf	20	21	
inhibitor	nephrologycaredelivery	voltage	20	21	
inhibitor	potentialcontrastexposure	-	1	2	
inhibitor	potentialcontrastexposure	(	0	1	
inhibitor	potentialcontrastexposure	contr	8	9	
inhibitor	potentialcontrastexposure	contrast	5	6	
inhibitor	potentialcontrastexposure	non - con	5	6	
inhibitor	potentialcontrastexposure	noncon	5	6	
inhibitor	potentialcontrastexposure	non-con	5	6	
